"";"Occurrence";"Title";"Date.of.occurrence";"Occurrence.type";"Location.name";"Country";"Report.Type";"Railway.System.type";"Location.type";"Line.type";"Total.fatalities";"Passenger.fatalities";"LC.User.fatalities";"Other.fatalities";"Total.serious.injuries";"Passenger.serious.injuries";"LC.User.serious.injuries";"Unauth..person.serious.injuries";"Other.serious.injuries";"Recs";"Reporting.Body"
"1";"AT-0038";"Level crossing accident, 2012-03-21, Level crossing km 51,567 between the station Wolfsberg and the station Sankt Stefan im Lavanttal (Austria)";"21/03/2012";"Level crossing accident";"Level crossing km 51,567 between the station Wolfsberg and the station Sankt Stefan im Lavanttal";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"2";"AT-0039";"Level crossing accident, 02.03.2012, Level crossing km 21,577 between the station Rosenbach and the station Ledenitzen (Austria)";"02/03/2012";"Level crossing accident";"Level crossing km 21,577 between the station Rosenbach and the station Ledenitzen";"Austria";"Final report";"Railway";"Line";"Double track";1;0;1;0;0;0;0;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"3";"AT-0043";"Level crossing accident, 2012-02-03, Level crossing km 41,469 near the station Ober Radlberg (Austria)";"03/02/2012";"Level crossing accident";"Level crossing km 41,469 near the station Ober Radlberg";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"4";"AT-0047";"Level crossing accident, 29.04.2012, Level crossing km 90,109 between the station Spital am Pyhrn and Ardning (Austria)";"29/04/2012";"Level crossing accident";"Level crossing km 90,109 between the station Spital am Pyhrn and Ardning";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;1;0;1;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"5";"AT-0048";"Level crossing accident, 2012-05-09, Level crossing km 65,909 between station Wilhelmsburg an der Traisen und station Spratzern (Austria)";"09/05/2012";"Level crossing accident";"Level crossing km 65,909 between station Wilhelmsburg an der Traisen und station Spratzern";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"6";"AT-0064";"Train derailment, 2012-07-03, Derailment km 11,700 between the station Weißkirchen and the station Obdach (Austria)";"03/07/2012";"Train derailment";"Derailment km 11,700 between the station Weißkirchen and the station Obdach";"Austria";"Final report";"Railway";"Line";"Single track";0;0;0;0;0;0;0;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"7";"AT-0077";"Train derailment, 2011-09-29, Derailment freight train 64203 in km 74,100 between the station Staatz and the station Enzersdorf bei Staatz (Austria)";"29/09/2011";"Train derailment";"Derailment freight train 64203 in km 74,100 between the station Staatz and the station Enzersdorf bei Staatz";"Austria";"Final report";"Railway";"Line";"Single track";0;0;0;0;0;0;0;0;0;4;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"8";"AT-0078";"Level crossing accident, 2012-05-22, Collsion passenger train 2796 with a car at level crossing km 80,036 between station Edlitz-Grimmenstein and station Aspang (Austria)";"22/05/2012";"Level crossing accident";"Collsion passenger train 2796 with a car at level crossing km 80,036 between station Edlitz-Grimmenstein and station Aspang";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"9";"AT-0081";"Level crossing accident, 2011-12-28, Level crossing in km 15,547 between the station Wieselburg an der Erlauf and the station Pöchlarn (Austria)";"28/12/2011";"Level crossing accident";"Level crossing in km 15,547 between the station Wieselburg an der Erlauf and the station Pöchlarn";"Austria";"Final report";"Railway";"Line";"Single track";0;0;0;0;1;0;1;0;0;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"10";"AT-0134";"Level crossing accident, 2012-01-12, Level crossing km 21,747 at the station Viechtwang (Austria)";"12/01/2012";"Level crossing accident";"Level crossing km 21,747 at the station Viechtwang";"Austria";"Final report";"Railway";"Station";"Single track";0;0;0;0;1;0;1;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"11";"AT-0136";"Level crossing accident, 2012-07-04, Level crossing km 26.618 between the station Grünbach am Schneeberg and the station Puchberg am Schneeberg (Austria)";"04/07/2012";"Level crossing accident";"Level crossing km 26.618 between the station Grünbach am Schneeberg and the station Puchberg am Schneeberg";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;1;0;1;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"12";"AT-0140";"Level crossing accident, 2012-06-17, Level crossing km 10,439 in the station Winzendorf (Austria)";"17/06/2012";"Level crossing accident";"Level crossing km 10,439 in the station Winzendorf";"Austria";"Final report";"Railway";"Station";"Single track";1;0;1;0;0;0;0;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"13";"AT-0141";"Level crossing accident, 2012-07-31, Level crossing km 2,753 between the station Langenlois and the station Hadersdorf am Kamp (Austria)";"31/07/2012";"Level crossing accident";"Level crossing km 2,753 between the station Langenlois and the station Hadersdorf am Kamp";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"14";"AT-0143";"Level crossing accident, 02.01.2012, Level crossing km 90,595 between the station Liezen and the station Stainach-Irdning (Austria)";"02/01/2012";"Level crossing accident";"Level crossing km 90,595 between the station Liezen and the station Stainach-Irdning";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"15";"AT-0147";"Trains collision with an obstacle, 2012-06-17, Km 152,530 between the station Rottenmann and the station Trieben (Austria)";"17/06/2012";"Trains collision with an obstacle";"Km 152,530 between the station Rottenmann and the station Trieben";"Austria";"Final report";"Railway";"Line";"Double track";0;0;0;0;1;1;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"16";"AT-0165";"Accident to persons caused by RS in motion, 2012-01-27, Wien Westbahnhof (Austria)";"27/01/2012";"Accident to persons caused by RS in motion";"Wien Westbahnhof";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"17";"AT-0185";"Level crossing accident, 2012-06-26, Level crossing km 35,204, next Lutzmannsdorf (Austria)";"26/06/2012";"Level crossing accident";"Level crossing km 35,204, next Lutzmannsdorf";"Austria";"Final report";"Railway";"Line";"Single track";0;0;0;0;0;0;0;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"18";"AT-0235";"Level crossing accident, 2012-07-06, Level crossing km 18,475 between the station Hofstetten-Grünau and the station Klangen (Austria)";"06/07/2012";"Level crossing accident";"Level crossing km 18,475 between the station Hofstetten-Grünau and the station Klangen";"Austria";"Final report";"Railway";"Line";"Single track";0;0;0;0;1;0;1;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"19";"AT-0299";"Train derailment, 28/09/2012, Station in Austria (Austria)";"28/09/2012";"Train derailment";"Station in Austria";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;4;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"20";"AT-0423";"Train derailment, 24.10.2012, Mixnitz-Bärenschützklamm (Austria)";"24/10/2012";"Train derailment";"Mixnitz-Bärenschützklamm";"Austria";"Notification";"Railway";"Line";"Double track";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"21";"AT-0795";"Trains collision, 2013-01-21, Between the stations Wien Penzing and Wien Hütteldorf (Austria)";"21/01/2013";"Trains collision";"Between the stations Wien Penzing and Wien Hütteldorf";"Austria";"Notification";"Railway";"Line";"Single track";0;0;0;0;5;5;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"22";"AT-1092";"Trains collision, 14/02/2011, ÖBB-Strecke 11801 von Wien Südbf nach Staatsgrenze nächst Nickelsdorf (Hegyeshalom) â€“ Bf Wien Zvbf, Hauptsignal S235, Weiche 950 // ÖBB-Line 11801 from station Wien Südbf to boarder next Nickelsdorf (Hegyeshalom HU) â€“ Station Wien Zvbf, main signal S235, (Austria)";"14/02/2011";"Trains collision";"ÖBB-Strecke 11801 von Wien Südbf nach Staatsgrenze nächst Nickelsdorf (Hegyeshalom) â€“ Bf Wien Zvbf, Hauptsignal S235, Weiche 950 // ÖBB-Line 11801 from station Wien Südbf to boarder next Nickelsdorf (Hegyeshalom HU) â€“ Station Wien Zvbf, main signal S235,";"Austria";"Final report";"Railway";"Marshalling yard";"";0;0;0;0;1;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"23";"AT-1093";"Level crossing accident, 08/02/2011, level crossing km 12,688 between Linz Urfahr and Aigen-Schlägl (Austria)";"08/02/2011";"Level crossing accident";"level crossing km 12,688 between Linz Urfahr and Aigen-Schlägl";"Austria";"Final report";"Railway";"Line";"";1;0;1;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"24";"AT-1100";"Train derailment, 04/04/2007, ÖBB-Strecke 20501 von Wels Hbf nach Staatsgrenze nächst Wernstein (Passau), zwischen Bf Taufkirchen a. d. Pram und Bf Schärding. // ÖBB-Line 20501 from station Wels Mainstation to boarder next Wernstein (Station Passau - DE), beetween station Taufkirchen (Austria)";"04/04/2007";"Train derailment";"ÖBB-Strecke 20501 von Wels Hbf nach Staatsgrenze nächst Wernstein (Passau), zwischen Bf Taufkirchen a. d. Pram und Bf Schärding. // ÖBB-Line 20501 from station Wels Mainstation to boarder next Wernstein (Station Passau - DE), beetween station Taufkirchen";"Austria";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;5;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"25";"AT-1101";"Train derailment, 16/08/2008, ÖBB-Strecke 10101 von Wien Westbahnhof nach St. Pölten Hbf, im Bf Neulengbach, Gleis 5, Weiche 51. // ÖBB-line 10101 from station Wien Westbahnhof to station St. Pölten Hbf, in station Neulengbach, track 5, switch 51 (Austria)";"16/08/2008";"Train derailment";"ÖBB-Strecke 10101 von Wien Westbahnhof nach St. Pölten Hbf, im Bf Neulengbach, Gleis 5, Weiche 51. // ÖBB-line 10101 from station Wien Westbahnhof to station St. Pölten Hbf, in station Neulengbach, track 5, switch 51";"Austria";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"26";"AT-1102";"Train derailment, 06/09/2008, ÖBB-Strecke 22202 von Villach Süd Gvbf nach Staatsgrenze nächst Rosenbach (Jesenice). // ÖBB-Line 22202 from station Villach Süd Gvbf to Boarder near Rosenbach (Jesenice - SI). (Austria)";"06/09/2008";"Train derailment";"ÖBB-Strecke 22202 von Villach Süd Gvbf nach Staatsgrenze nächst Rosenbach (Jesenice). // ÖBB-Line 22202 from station Villach Süd Gvbf to Boarder near Rosenbach (Jesenice - SI).";"Austria";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"27";"AT-1103";"Train derailment, 01/09/2009, ÖBB-Strecke 10601 von Wien Meidling nach Wr. Neustadt Hauptbahnhof, Bahnhof Ebenfurth (Verknüpfung mit ÖBB-Strecke 17102). // ÖBB-Line 10601 from station Wien Meidling to station Wiener Neustadt Hauptbahnhof, station Ebenfurth (link with ÖBB-Line 17102). (Austria)";"01/09/2009";"Train derailment";"ÖBB-Strecke 10601 von Wien Meidling nach Wr. Neustadt Hauptbahnhof, Bahnhof Ebenfurth (Verknüpfung mit ÖBB-Strecke 17102). // ÖBB-Line 10601 from station Wien Meidling to station Wiener Neustadt Hauptbahnhof, station Ebenfurth (link with ÖBB-Line 17102).";"Austria";"Final report";"Railway";"Station";"";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
